Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;Effective group motion 2;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
0,5000001;2120,048;0,4813855;4,410233;0,9368277;602,7377;+Infini;10;37;0,925;4;0,03783094;0,9457735;0,9957346;-81,50128;0,432788;1;1;1;9,4;0,1;0,04
0,9999996;2121,695;0,4815328;4,415193;0,9425992;0,1162548;0,1385977;10;37;0,925;4;0,03584952;0,896238;0,9125202;52,66677;0,353856;1;1;1;9,4;0,1;0,04
1,499999;2124,163;0,4817528;4,424094;0,9488223;0,03464614;0,04754245;10;37;0,925;4;0,03639538;0,9098846;0,9350341;85,3558;0,3352616;1;1;1;9,4;0,1;0,04
1,999999;2127,129;0,4820175;4,434951;0,9558621;0,1029821;0,1299592;10;37;0,925;4;0,03459849;0,8649622;0,8783942;-70,36443;0,4144431;1;1;1;9,4;0,1;0,04
2,499998;2129,796;0,482255;4,444742;0,9602681;0,1818503;0,2643725;10;37;0,925;4;0,03600261;0,9000652;0,9039397;109,7565;0,4335742;1;1;1;9,4;0,1;0,04
2,999998;2130,278;0,4822976;4,445398;0,9661489;0,04887116;0,06611805;10;37;0,925;4;0,03595242;0,8988104;0,8998238;84,89243;0,4127215;1;1;1;9,4;0,1;0,04
3,499997;2133,177;0,4825554;4,456769;0,9708963;0,08469126;0,1156742;10;37;0,925;4;0,03423472;0,855868;0,8599412;125,0902;0,4547215;1;1;1;9,4;0,1;0,04
3,999997;2135,816;0,4827896;4,467143;0,9737859;0,190692;0,360182;10;37;0,925;4;0,03656093;0,9140234;0,9241294;-83,37268;0,3647098;1;1;1;9,4;0,1;0,04
4,499997;2138,837;0,4830574;4,478837;0,9773469;0,1058761;0,1256248;10;37;0,925;4;0,03550885;0,8877212;0,9003177;-11,60697;0,4324521;1;1;1;9,4;0,1;0,04
4,999996;2140,495;0,4832042;4,483907;0,9812081;0,1943167;0,2785234;10;37;0,925;4;0,03383435;0,8458586;0,8613372;179,8673;0,466725;1;1;1;9,4;0,1;0,04
5,499996;2142,544;0,4833852;4,491645;0,9821829;0,1322428;0,1843562;10;37;0,925;4;0,03565688;0,8914219;0,9207551;53,23004;0,3671913;1;2,2;1;9,4;0,1;0,04
5,999995;2142,818;0,4834093;4,491339;0,9841906;0,04457207;0,05357459;10;37;0,925;4;0,03574172;0,8935429;0,8951402;-14,09408;0,4214522;1;2,5;1;9,4;0,1;0,04
6,499995;2145,337;0,4836319;4,500403;0,9860663;0,1069214;0,1525595;10;37;0,925;4;0,03507983;0,8769957;0,8860484;-108,2343;0,4611393;1;2,8;1;9,4;0,1;0,04
6,999994;2146,016;0,4836919;4,502079;0,9869431;0,2107124;0,3126104;10;37;0,925;4;0,03459122;0,8647805;0,8796266;103,2919;0,490888;1;2,8;1;9,4;0,1;0,04
7,499994;2146,999;0,4837787;4,505997;0,9892387;0,07796651;0,101409;10;37;0,925;4;0,03614049;0,9035124;0,9177686;173,547;0,4541549;1;2,8;1;7;0,1;0,04
7,999993;2146,628;0,4837458;4,503006;0,9901312;0,2229743;0,3015606;13;38;0,95;3;0,03793813;0,9484532;0,9531297;-107,6301;0,5797924;1;2,8;1;3,7;0,1;0,04
8,500005;2148,365;0,4838992;4,507871;0,9966641;0,04622233;0,05995496;13;38;0,95;3;0,03872312;0,9680781;0,9672378;145,3663;0,5981656;1;2,8;1;2,1;0,1;0,04
9,000016;2150,621;0,4840976;4,514295;0,9974526;0,09109191;0,1258536;13;38;0,95;3;0,03934224;0,9835559;0,9882006;39,2004;0,6520851;1;2,8;1;1,3;0,1;0,04
9,500028;2151,822;0,4842034;4,516425;0,9936259;0,1161435;0,1473606;20;39;0,975;2;0,03828435;0,9571087;0,9615742;113,8271;0,676755;1;2,8;1;2,1;0,1;0,04
