Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
0,5000001;1849,074;0,4553145;3,365946;0,8576457;614,2862;13;33;0,825;3;0,03899999;0,9749998;0,9999999;53,54781;0,520306;1;1;1;9,4;0,1;0,04
0,9999996;1851,621;0,4555781;3,373214;0,8621737;0,1435912;13;33;0,825;3;0,03527144;0,8817859;0,8835177;129,5002;0,4294059;1;1;1;9,4;0,1;0,04
1,499999;1854,271;0,4558519;3,382517;0,8676639;0,1030337;13;33;0,825;3;0,0362513;0,9062825;0,8966967;-90,31215;0,50919;1;1;1;9,4;0,1;0,04
1,999999;1857,583;0,4561936;3,393225;0,8723871;0,05984272;13;33;0,825;3;0,03698731;0,9246828;0,9088786;55,09802;0,4200158;1;1;1;9,4;0,1;0,04
2,499998;1861,124;0,4565585;3,404745;0,8774588;0,05574322;13;33;0,825;3;0,03420152;0,855038;0,8589981;-100,9198;0,4953471;1;1;1;9,4;0,1;0,04
2,999998;1863,472;0,4567999;3,412505;0,8823398;0,1398049;13;33;0,825;3;0,03362791;0,8406978;0,8749835;143,5597;0,554337;1;1;1;9,4;0,1;0,04
3,499997;1865,534;0,4570116;3,418572;0,8850278;0,06081109;13;33;0,825;3;0,03317063;0,8292658;0,8514424;-65,10779;0,4930454;1;1;1;9,4;0,1;0,04
3,999997;1868,557;0,4573217;3,428344;0,8902653;0,05685918;13;33;0,825;3;0,03449952;0,862488;0,8611937;-168,3732;0,5101601;1;1;1;9,4;0,1;0,04
4,499997;1870,75;0,457546;3,43541;0,8979928;0,1192411;13;33;0,825;3;0,03624996;0,906249;0,9317877;160,714;0,4596249;1;1;1;9,4;0,1;0,04
4,999996;1873,092;0,4577855;3,443013;0,9053546;0,03810716;13;33;0,825;3;0,03424861;0,8562154;0,8755013;41,32458;0,4934744;1;1;1;9,4;0,1;0,04
5,499996;1875,812;0,4580632;3,452077;0,9104077;0,05858569;40;40;1;1;0,03590011;0,8975028;0,8975027;-11,73656;0,5020055;1;1;1;9,4;0,1;0,04
5,999995;1877,914;0,4582773;3,459103;0,9119039;0,02538472;40;40;1;1;0,03604875;0,9012187;0,9012186;-114,4818;0,4839585;1;1;1;9,4;0,1;0,04
6,499995;1881,821;0,4586752;3,472808;0,9174697;0,1196013;40;40;1;1;0,03760638;0,9401596;0,9401596;39,62833;0,5150072;1;1;1;9,4;0,1;0,04
6,999994;1885,275;0,459026;3,484154;0,9232715;0,06184139;40;40;1;1;0,03999999;0,9999997;0,9999998;-24,30104;0,6823512;1;1;1;0;0,1;0,04
7,499994;1891,246;0,4596312;3,504663;0,9315366;0,05506898;40;40;1;1;0,03999999;0,9999997;0,9999997;100,1775;0,6940463;1;1;1;0;0,1;0,04
7,999993;1897,542;0,4602667;3,526363;0,9390699;0,09135125;40;40;1;1;0,03996105;0,9990263;0,9990264;136,262;0,6964507;1;1;1;0;0,1;0,04
8,500005;1903,443;0,4608608;3,546496;0,9436271;0,07533542;40;40;1;1;0,03999999;0,9999997;0,9999997;115,4687;0,7147102;1;1;1;0;0,1;0,04
9,000016;1909,608;0,4614787;3,567804;0,9484935;0,08102812;40;40;1;1;0,03999999;0,9999997;0,9999997;125,1487;0,7259865;1;1;1;0;0,1;0,04
9,500028;1916,213;0,4621389;3,59094;0,9544052;0,08079728;40;40;1;1;0,03980772;0,9951931;0,995193;129,2537;0,7088962;1;2,1;1;0;0,1;0,04
10,00004;1923,915;0,4629056;3,618153;0,9613575;0,08930724;40;40;1;1;0,03985331;0,9963328;0,9963329;134,5315;0,6886372;1;2,1;1;0;0,1;0,04
10,50005;1931,808;0,4636875;3,646196;0,9673333;0,1080459;40;40;1;1;0,03980956;0,9952391;0,9952391;159,8506;0,6968653;1;2,1;1;0;0,1;0,04
11,00006;1939,963;0,4644921;3,675399;0,9737888;0,1116042;40;40;1;1;0,03987413;0,9968534;0,9968532;159,9142;0,7018591;1;2,1;1;0;0,1;0,04
11,50007;1947,613;0,4652436;3,702551;0,9768686;0,09228613;40;40;1;1;0,03985551;0,9963877;0,9963876;101,3464;0,7113068;1;2,1;1;0;0,1;0,04
12,00008;1955,186;0,4659846;3,729511;0,979494;0,07737117;40;40;1;1;0,03969738;0,9924344;0,9924344;126,3362;0,7439424;1;2,1;1;0;0,1;0,04
12,5001;1962,826;0,4667287;3,756874;0,9821652;0,07427171;40;40;1;1;0,03948787;0,9871968;0,9871968;114,9928;0,7589301;1;2,1;1;0;0,1;0,04
13,00011;1970,227;0,4674468;3,783403;0,9849003;0,06112197;40;40;1;1;0,03887876;0,9719691;0,9719691;-124,4923;0,7816581;1;2,1;1;0;0,1;0,04
13,50012;1977,363;0,4681364;3,808875;0,9875871;0,04412201;40;40;1;1;0,03907483;0,9768709;0,976871;168,6837;0,7934714;1;2,1;1;0;0,1;0,04
14,00013;1984,844;0,4688563;3,835826;0,9912;0,03962508;40;40;1;1;0,03974554;0,9936385;0,9936385;-174,1187;0,7963395;1;2,1;1;0;0,1;0,04
14,50014;1992,294;0,4695705;3,862838;0,9942046;0,0465232;40;40;1;1;0,03986743;0,9966859;0,9966859;-148,4199;0,787214;1;2,1;1;0;0,1;0,04
15,00015;1999,73;0,4702805;3,889871;0,9970348;0,04105854;40;40;1;1;0,03961409;0,9903522;0,9903522;-147,2775;0,8079389;1;2,1;1;0;0,1;0,04
15,50016;2006,291;0,4709044;3,91337;0,9974548;0,1155688;40;40;1;1;0,03955248;0,9888121;0,9888122;123,82;0,8361421;1;2,1;1;0;0,1;0,04
