Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageNeighborhood;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Move forward intensity;Friction intensity;Max speed intensity
0,5000001;2051,023;0,4751013;4,101505;0,91619;363,6692;20;34;0,85;2;3,875;0,08228485;0,8228484;0,8280091;96,40981;0,554265;1;1;1;0;0;0,1;0,1
0,9999996;2061,35;0,4760561;4,140598;0,9367656;0,03979554;20;34;0,85;2;3,775;0,09641093;0,9641093;0,9583112;177,1795;0,5816791;1;1;1;0;0;0,1;0,1
1,499999;2071,126;0,4769547;4,177695;0,9507273;0,03002924;20;34;0,85;2;3,725;0,09762686;0,9762686;0,9720809;150,6378;0,5886412;1;1;1;0;0;0,1;0,1
1,999999;2079,767;0,4777459;4,210693;0,956012;0,0893077;20;34;0,85;2;3,6;0,09796328;0,9796328;0,9760386;168,8094;0,6314541;1;1;1;0;0;0,1;0,1
2,499998;2089,805;0,47866;4,248703;0,9625013;0,1210393;40;40;1;1;3,65;0,09816071;0,9816071;0,9816071;-176,9129;0,6688973;1;1;1;0;0;0,1;0,1
2,999998;2098,285;0,4794286;4,280572;0,9726775;0,2293134;40;40;1;1;3,7;0,09892721;0,9892721;0,9892721;-173,8176;0,7296151;1;1;1;0;0;0,1;0,1
3,499997;2109,645;0,4804529;4,326168;0,9846988;0,2573756;40;40;1;1;3,7;0,09841595;0,9841595;0,9841595;166,2212;0,7632601;1;1;1;0;0;0,1;0,1
3,999997;2121,108;0,4814802;4,371709;0,9868353;0,2763803;40;40;1;1;3,45;0,09854363;0,9854363;0,9854364;175,7406;0,7563972;1;1;1;0;0;0,1;0,1
4,499997;2128,275;0,4821196;4,396636;0,9719242;0,3268351;40;40;1;1;3,45;0,09799135;0,9799135;0,9799136;-176,8967;0,8227644;1;1;1;0;0;0,1;0,1
4,999996;2140,595;0,483213;4,443351;0,9727742;0,2836968;40;40;1;1;3,45;0,09992509;0,9992509;0,9992509;-175,9579;0,8083529;1;1;1;0;0;0,1;0,1
5,499996;2153,48;0,4843492;4,493836;0,9755787;0,3766692;40;40;1;1;3,45;0,09909204;0,9909204;0,9909204;170,3598;0,8169349;1;1;1;0;0;0,1;0,1
5,999995;2165,433;0,4853966;4,541595;0,9796591;0,460775;40;40;1;1;3,6;0,09807103;0,9807103;0,9807103;168,5136;0,8543856;1;1;1;0;0;0,1;0,1
6,499995;2175,377;0,4862629;4,580613;0,9818313;0,5452371;40;40;1;1;3,6;0,09937793;0,9937793;0,9937793;-171,8917;0,8613656;1;1;1;0;0;0,1;0,1
6,999994;2184,804;0,4870803;4,616933;0,9723548;0,5810682;40;40;1;1;3,55;0,09830528;0,9830528;0,983053;168,7487;0,874195;1;1;1;0;0;0,1;0,1
7,499994;2198,314;0,4882451;4,67135;0,9794039;0,5165125;40;40;1;1;3,5;0,09940942;0,9940941;0,9940941;170,0041;0,8726501;1;1;1;0;0;0,1;0,1
7,999993;2213,385;0,4895349;4,732918;0,9887745;0,5929516;40;40;1;1;3,45;0,09960856;0,9960855;0,9960855;170,2156;0,8722141;1;1;1;0;0;0,1;0,1
8,500005;2226,566;0,4906552;4,786476;0,9823858;0,4996714;40;40;1;1;3,4;0,09782232;0,9782232;0,9782232;160,679;0,8412427;1;1;1;0;0;0,1;0,1
9,000016;2239,317;0,4917316;4,838696;0,981625;0,4730141;40;40;1;1;3,4;0,09944826;0,9944826;0,9944826;171,7037;0,8500177;1;1;1;0;0;0,1;0,1
9,500028;2251,671;0,4927685;4,889545;0,9842768;0,4714636;40;40;1;1;3,25;0,09888308;0,9888307;0,9888309;176,4753;0,8471496;1;1;1;0;0;0,1;0,1
10,00004;2262,229;0,4936492;4,932253;0,981277;0,4833006;40;40;1;1;3,15;0,09921871;0,9921871;0,9921871;154,744;0,8678702;1;1;1;0;0;0,1;0,1
10,50005;2272,691;0,4945176;4,976526;0,9835727;0,6059469;40;40;1;1;3,25;0,0986423;0,986423;0,986423;154,3181;0,892934;1;1;1;0;0;0,1;0,1
11,00006;2280,79;0,4951869;5,011964;0,988587;0,744393;40;40;1;1;3,25;0,09918327;0,9918327;0,9918326;152,9529;0,8824789;1;1;1;0;0;0,1;0,1
11,50007;2285,399;0,4955665;5,031045;0,9879535;0,6588488;40;40;1;1;3,3;0,09848302;0,9848302;0,9848303;164,15;0,8715754;1;1;1;0;0;0,1;0,1
12,00008;2289,502;0,4959038;5,047565;0,9871673;0,5896158;40;40;1;1;3,4;0,09834467;0,9834467;0,9834466;158,1848;0,9172339;1;1;1;0;0;0,1;0,1
12,5001;2293,83;0,4962587;5,064927;0,9827068;0,6208658;40;40;1;1;3,25;0,0991723;0,991723;0,9917231;149,1363;0,91388;1;1;1;0;0;0,1;0,1
13,00011;2297,991;0,4965995;5,082286;0,9836889;0,6953307;40;40;1;1;3,2;0,09944448;0,9944448;0,9944448;168,7546;0,8961722;1;1;1;0;0;0,1;0,1
13,50012;2299,342;0,4967099;5,085966;0,9850157;0,6174574;40;40;1;1;3,3;0,09878974;0,9878973;0,9878975;167,0692;0,9244196;1;1;1;0;0;0,1;0,1
14,00013;2303,458;0,4970458;5,102511;0,9864171;0,658618;40;40;1;1;3,25;0,09912693;0,9912693;0,9912693;173,6835;0,9109853;1;1;1;0;0;0,1;0,1
14,50014;2308,4;0,4974486;5,123117;0,9869248;0,5619425;40;40;1;1;3,3;0,09892623;0,9892623;0,9892623;170,1293;0,9146795;1;1;1;0;0;0,1;0,1
15,00015;2313,318;0,4978482;5,143869;0,9904963;0,5449584;40;40;1;1;3,35;0,0987647;0,9876469;0,987647;133,7996;0,8925138;1;1;1;0;0;0,1;0,1
15,50016;2314,798;0,4979684;5,149816;0,9861284;0,5344803;40;40;1;1;3,45;0,09929302;0,9929302;0,9929303;154,2272;0,870413;1;1;1;0;0;0,1;0,1
16,00018;2313,228;0,4978409;5,142797;0,9907562;0,5446929;40;40;1;1;3,5;0,09873771;0,9873771;0,9873772;171,1169;0,9127545;1;1;1;0;0;0,1;0,1
16,50019;2311,749;0,4977208;5,135805;0,9790338;0,5877947;40;40;1;1;3,5;0,09893337;0,9893337;0,9893337;164,4592;0,930381;1;1;1;0;0;0,1;0,1
17,0002;2314,432;0,4979384;5,148334;0,9862981;0,6196014;40;40;1;1;3,5;0,09953482;0,9953482;0,9953482;159,412;0,921295;1;1;1;0;0;0,1;0,1
17,50021;2313,782;0,4978856;5,145864;0,9885426;0,6731334;40;40;1;1;3,5;0,09788907;0,9788907;0,9788908;128,2372;0,9115099;1;1;1;0;0;0,1;0,1
18,00022;2311,41;0,4976933;5,134987;0,9803555;0,5350198;40;40;1;1;3,5;0,09927136;0,9927136;0,9927136;144,3498;0,8964111;1;1;1;0;0;0,1;0,1
18,50023;2309,334;0,4975245;5,124778;0,9792204;0,452394;40;40;1;1;3,55;0,09811907;0,9811906;0,9811906;151,5304;0,9090151;1;1;1;0;0;0,1;0,1
19,00024;2309,819;0,497564;5,126426;0,9830527;0,3885044;40;40;1;1;3,55;0,09865505;0,9865505;0,9865505;139,7059;0,9533431;1;1;1;0;0;0,1;0,1
19,50026;2312,981;0,497821;5,140365;0,9912109;0,4243786;40;40;1;1;3,6;0,0988146;0,988146;0,9881461;175,5756;0,8953317;1;1;1;0;0;0,1;0,1
20,00027;2312,667;0,4977954;5,139035;0,9875193;0,4511938;40;40;1;1;3,6;0,09809943;0,9809942;0,9809943;158,9798;0,9244353;1;1;1;0;0;0,1;0,1
20,50028;2312,999;0,497822;5,141586;0,9873066;0,3801703;40;40;1;1;3,6;0,09913392;0,9913392;0,9913392;151,7618;0,9349537;1;1;1;0;0;0,1;0,1
