Filename,Duration,FinalExpansionDistance,ExpansionSpeed,MeanStandardDeviationOfKnnDirection,AverageDistanceTravelledByAgentsPerSecond,ChangeOfAgentsLinks,ConvexHulArea, MeanEmptySpaces(1s), CohesionIntensity, SeparationIntensity, AlignmentIntensity, RandomIntensity, MaxSpeed,FieldOfVision,PerceptionRange
DF1.dat,6.919997,1305.711,-58.21781,0.1820797,0.09924154,0.9710152,6.204776,92,5,1,5,0,0.1,330,1
DF2.dat,6.479998,1393.024,-65.81116,0.2255103,0.09425517,0.7198145,7.903137,48,5,1,1,0,0.1,330,1
DF3.dat,6.539998,1521.51,-63.5433,0.2207525,0.09819275,0.7208591,9.241518,31,5,1,3,0,0.1,330,1
DS1.dat,6.799997,834.6754,-81.81676,0.1673813,0.09946693,1.5413,3.690288,34,5,1,5,0,0.1,330,1
DS2.dat,6.499998,1330.089,-91.11927,0.09719028,0.09942761,0.5864197,9.217401,7,1.5,1,2.58,0,0.1,330,1
DS3.dat,6.999997,1004.99,-75.81264,0.127497,0.09975833,1.124643,4.031384,63,3,1,5,0,0.1,330,1
EF1.dat,6.499998,1310.878,65.57074,0.2504165,0.0731035,0.8024697,8.033094,5,1.8,1,0,0,0.1,330,0.6
EF2.dat,6.719997,2488.623,76.39675,0.1076456,0.09945294,0.216418,27.69442,14,1,1,1,0,0.1,330,1
EF3.dat,6.819997,2387.058,81.70847,0.2223002,0.08643822,0.3088235,24.73407,8,1,1,0,0,0.1,330,1
ES1.dat,6.879997,1842.743,66.8488,0.2749493,0.07778591,0.568513,16.08569,6,1.2,1,0,0,0.1,330,1
ES2.dat,6.879997,1354.041,30.8198,0.2587455,0.05078344,0.276968,8.158167,7,2,1,0,0,0.1,330,0.6
ES3.dat,6.899997,1259.784,49.63931,0.2674659,0.06593797,0.7049422,7.282372,3,2,1,0,0,0.1,330,0.6
FF1.dat,6.979997,2087.493,40.93635,0.04036554,0.09999995,0.05747129,13.72083,32,2,1,1.46,0,0.1,330,0.6
FF2.dat,6.779997,1541.39,27.17023,0.04188533,0.09999997,0.09615389,10.69401,6,1.8,1,1.76,0,0.1,330,0.6
FF3.dat,6.639997,1447.046,42.63791,0.06315611,0.09997688,0.1888218,9.674743,5,1.82,1,1.5,0,0.1,330,0.6
FS1.dat,6.899997,1707.322,7.684524,0.02192019,0.09999993,0.03633722,8.371968,19,2,1,2,0,0.1,330,0.6
FS2.dat,6.739997,2355.677,25.9978,0.04200733,0.09999999,2.187505,23.87144,6,1.1,1,2,0,0.1,180,1
FS3.dat,6.779997,1305.64,2.477758,0.01190483,0.09999994,0.007396453,7.059785,2,2,1,1.76,0,0.1,330,0.6
SF1.dat,6.039998,2043.763,20.02583,0.2856838,0.1458408,1.220932,20.51479,16,1.3,1,0,5,0.2,330,1
SF2.dat,6.699997,2052.37,0.06679253,0.2816843,0.1433664,1.220061,19.93342,21,1.35,1,0,5,0.2,330,1
SF3.dat,6.839997,2271.923,30.84468,0.27747,0.08566388,0.8357777,25.85501,11,1.1,1,2,5,0.1,330,1
SS1.dat,6.899997,1105.792,5.918502,0.2891869,0.1491681,3.851745,7.751928,26,1.4,1,0,5,0.2,330,1
SS2.dat,6.859997,1963.495,1.303608,0.2797087,0.08473714,0.818714,20.59965,10,1.2,1,2,5,0.1,330,1
SS3.dat,6.819997,1701.453,-14.54196,0.2726766,0.08446559,0.6838238,13.57831,13,1.5,1,2,5,0.1,330,1
