Filename;Participant;Score
F_1.dat;P11;1,639487
F_1.dat;P18;1,300214
F_1.dat;P19;1,515648
F_1.dat;P21;1,201154
F_1.dat;P22;1,625587
F_1.dat;P23;1,639487
F_1.dat;P24;1,639487
F_1.dat;P25;1,392741
F_1.dat;P26;1,413077
F_1.dat;P28;1,24003
F_1.dat;P3;1,178098
F_1.dat;P31;1,292817
F_1.dat;P42;1,465676
F_1.dat;P47;1,49234
F_1.dat;P5;1,112029
F_1.dat;P7;1,20797
F_10.dat;P1;6,249362
F_10.dat;P10;5,138158
F_10.dat;P11;3,360651
F_10.dat;P12;3,280759
F_10.dat;P14;3,957
F_10.dat;P15;4,872072
F_10.dat;P17;4,414522
F_10.dat;P18;3,957
F_10.dat;P19;4,475125
F_10.dat;P20;4,758895
F_10.dat;P21;4,384778
F_10.dat;P22;4,359844
F_10.dat;P23;4,423265
F_10.dat;P24;3,566275
F_10.dat;P25;5,278555
F_10.dat;P26;4,359844
F_10.dat;P27;2,231228
F_10.dat;P28;3,976459
F_10.dat;P29;2,725897
F_10.dat;P3;4,336146
F_10.dat;P30;3,496696
F_10.dat;P31;4,937423
F_10.dat;P32;5,083892
F_10.dat;P33;4,900943
F_10.dat;P34;4,877915
F_10.dat;P35;4,618293
F_10.dat;P36;6,249362
F_10.dat;P37;4,3957
F_10.dat;P38;4,135118
F_10.dat;P4;5,044776
F_10.dat;P40;1,889224
F_10.dat;P41;5,044776
F_10.dat;P42;5,885403
F_10.dat;P43;3,718813
F_10.dat;P44;5,314012
F_10.dat;P45;5,395972
F_10.dat;P47;5,314012
F_10.dat;P48;4,454621
F_10.dat;P49;4,093707
F_10.dat;P5;4,618293
F_10.dat;P6;5,590825
F_10.dat;P7;4,363683
F_10.dat;P8;4,631194
F_10.dat;P9;1,986592
F_11.dat;P1;2,993934
F_11.dat;P10;2,820815
F_11.dat;P11;2,504583
F_11.dat;P12;2,417241
F_11.dat;P13;1,652032
F_11.dat;P14;2,439864
F_11.dat;P15;1,876308
F_11.dat;P16;3,771088
F_11.dat;P17;2,473864
F_11.dat;P18;2,433958
F_11.dat;P19;3,087365
F_11.dat;P2;1,646904
F_11.dat;P21;3,074647
F_11.dat;P22;4,408849
F_11.dat;P23;1,810592
F_11.dat;P24;3,487871
F_11.dat;P25;3,592731
F_11.dat;P26;2,959888
F_11.dat;P28;3,180628
F_11.dat;P29;2,899781
F_11.dat;P3;4,320799
F_11.dat;P30;2,477652
F_11.dat;P31;2,940474
F_11.dat;P32;2,356299
F_11.dat;P33;1,846694
F_11.dat;P34;2,956706
F_11.dat;P35;1,921754
F_11.dat;P36;3,021021
F_11.dat;P37;1,868684
F_11.dat;P38;2,499627
F_11.dat;P39;2,250939
F_11.dat;P4;2,840082
F_11.dat;P40;2,357733
F_11.dat;P41;2,477733
F_11.dat;P42;2,31671
F_11.dat;P43;4,19377
F_11.dat;P44;4,180918
F_11.dat;P45;4,312621
F_11.dat;P47;4,429749
F_11.dat;P48;2,946238
F_11.dat;P49;2,426049
F_11.dat;P5;3,377969
F_11.dat;P6;2,446195
F_11.dat;P7;2,214042
F_11.dat;P8;2,907429
F_11.dat;P9;2,731621
F_12.dat;P1;7,846181
F_12.dat;P17;8,147073
F_12.dat;P18;6,631533
F_12.dat;P19;7,148463
F_12.dat;P2;7,472163
F_12.dat;P21;4,601772
F_12.dat;P22;8,897355
F_12.dat;P23;6,02924
F_12.dat;P25;7,919319
F_12.dat;P26;5,484144
F_12.dat;P27;4,51216
F_12.dat;P28;6,268722
F_12.dat;P30;6,677227
F_12.dat;P31;8,384007
F_12.dat;P32;7,438221
F_12.dat;P36;7,00819
F_12.dat;P37;8,147073
F_12.dat;P38;4,474949
F_12.dat;P4;9,113761
F_12.dat;P40;7,00819
F_12.dat;P42;5,741989
F_12.dat;P44;8,145052
F_12.dat;P45;6,001681
F_12.dat;P47;7,423565
F_12.dat;P48;6,343544
F_12.dat;P5;7,59207
F_12.dat;P7;5,089342
F_12.dat;P8;6,02924
F_15.dat;P1;5,700106
F_15.dat;P11;5,696331
F_15.dat;P12;5,617814
F_15.dat;P15;4,258099
F_15.dat;P16;9,336107
F_15.dat;P17;4,564124
F_15.dat;P18;6,490892
F_15.dat;P19;11,24104
F_15.dat;P21;3,170974
F_15.dat;P22;11,09932
F_15.dat;P23;6,831718
F_15.dat;P25;9,991316
F_15.dat;P26;10,35508
F_15.dat;P27;3,926012
F_15.dat;P28;5,696331
F_15.dat;P29;3,317784
F_15.dat;P30;5,544329
F_15.dat;P31;6,909713
F_15.dat;P32;5,694692
F_15.dat;P33;4,172819
F_15.dat;P34;4,318787
F_15.dat;P35;6,730333
F_15.dat;P36;4,862808
F_15.dat;P37;10,35508
F_15.dat;P38;11,37255
F_15.dat;P4;11,37255
F_15.dat;P40;5,597053
F_15.dat;P41;6,633516
F_15.dat;P42;9,815953
F_15.dat;P43;9,059519
F_15.dat;P44;8,954091
F_15.dat;P45;10,97926
F_15.dat;P47;10,94439
F_15.dat;P48;10,92524
F_15.dat;P5;10,3412
F_15.dat;P6;10,37127
F_15.dat;P7;9,031573
F_15.dat;P8;4,140133
F_15.dat;P9;3,577853
F_17.dat;P1;7,911912
F_17.dat;P11;3,893669
F_17.dat;P18;3,893669
F_17.dat;P19;11,87343
F_17.dat;P2;14,15987
F_17.dat;P22;12,17746
F_17.dat;P23;13,96449
F_17.dat;P25;12,21812
F_17.dat;P26;9,082628
F_17.dat;P28;6,204395
F_17.dat;P29;13,64467
F_17.dat;P30;4,933752
F_17.dat;P31;10,0641
F_17.dat;P32;7,00711
F_17.dat;P33;4,175146
F_17.dat;P35;13,49385
F_17.dat;P37;13,96449
F_17.dat;P4;10,44182
F_17.dat;P40;8,168563
F_17.dat;P43;11,25368
F_17.dat;P44;4,644665
F_17.dat;P45;11,63686
F_17.dat;P46;12,85818
F_17.dat;P47;5,484097
F_17.dat;P48;14,26144
F_17.dat;P7;6,729277
F_17.dat;P8;7,933221
F_18.dat;P1;1,429016
F_18.dat;P10;1,824335
F_18.dat;P11;1,045153
F_18.dat;P16;1,037149
F_18.dat;P18;1,473175
F_18.dat;P19;1,073358
F_18.dat;P22;1,059999
F_18.dat;P23;1,645647
F_18.dat;P25;1,045153
F_18.dat;P26;1,028249
F_18.dat;P28;1,58142
F_18.dat;P31;1,115802
F_18.dat;P35;1,294976
F_18.dat;P37;1,091897
F_18.dat;P38;1,068564
F_18.dat;P4;1,205124
F_18.dat;P40;1,90545
F_18.dat;P42;0,9961411
F_18.dat;P43;1,402793
F_18.dat;P44;1,206154
F_18.dat;P45;1,388921
F_18.dat;P47;1,321657
F_18.dat;P48;1,731176
F_18.dat;P5;1,402188
F_18.dat;P6;1,792481
F_18.dat;P8;1,334959
F_2.dat;P1;0,8681131
F_2.dat;P11;0,9882209
F_2.dat;P12;1,188068
F_2.dat;P14;0,8523655
F_2.dat;P15;1,095432
F_2.dat;P16;0,8518651
F_2.dat;P17;0,9925863
F_2.dat;P18;0,9662974
F_2.dat;P19;0,9882209
F_2.dat;P2;0,9034556
F_2.dat;P21;1,023243
F_2.dat;P22;1,21341
F_2.dat;P23;0,9882209
F_2.dat;P24;0,9882209
F_2.dat;P25;0,9882209
F_2.dat;P26;1,497092
F_2.dat;P27;0,9882209
F_2.dat;P28;0,9912984
F_2.dat;P29;0,8341414
F_2.dat;P3;1,05239
F_2.dat;P30;1,056265
F_2.dat;P31;1,191998
F_2.dat;P32;0,9882209
F_2.dat;P33;0,9992621
F_2.dat;P34;1,224651
F_2.dat;P35;0,9788886
F_2.dat;P36;0,9882209
F_2.dat;P37;1,187561
F_2.dat;P38;1,302188
F_2.dat;P4;1,174452
F_2.dat;P41;0,8659458
F_2.dat;P42;1,603402
F_2.dat;P43;1,052755
F_2.dat;P44;0,96557
F_2.dat;P45;0,9837509
F_2.dat;P46;0,9633783
F_2.dat;P47;0,9882209
F_2.dat;P48;1,263465
F_2.dat;P49;0,8914055
F_2.dat;P5;1,006343
F_2.dat;P6;1,056541
F_2.dat;P7;1,232024
F_2.dat;P8;0,8879721
F_2.dat;P9;0,8644519
F_21.dat;P11;2,836734
F_21.dat;P15;4,898594
F_21.dat;P17;2,880786
F_21.dat;P19;4,30775
F_21.dat;P21;3,124668
F_21.dat;P22;4,322342
F_21.dat;P23;4,439377
F_21.dat;P25;15,16965
F_21.dat;P26;7,735627
F_21.dat;P28;8,243728
F_21.dat;P29;5,329277
F_21.dat;P30;3,554003
F_21.dat;P31;7,19859
F_21.dat;P32;4,524423
F_21.dat;P33;5,013269
F_21.dat;P35;10,67136
F_21.dat;P36;3,366471
F_21.dat;P37;3,184633
F_21.dat;P38;12,92772
F_21.dat;P4;13,87801
F_21.dat;P40;3,124668
F_21.dat;P41;2,850981
F_21.dat;P42;9,306483
F_21.dat;P43;4,736073
F_21.dat;P44;3,018641
F_21.dat;P45;9,138519
F_21.dat;P46;2,791239
F_21.dat;P47;5,135599
F_21.dat;P48;8,179935
F_21.dat;P6;13,33523
F_21.dat;P7;3,706415
F_21.dat;P9;3,156784
F_22.dat;P1;2,116254
