Filename,Visualisation,Rotation,Result,Height
SF2.dat,2,0,True,1.106146
EF3.dat,1,1,False,1.121758
DF1.dat,3,0,False,1.124301
FF2.dat,0,1,True,1.12375
DF2.dat,1,1,True,1.119823
FF1.dat,2,0,True,1.117361
SF1.dat,1,1,True,1.123819
FF3.dat,3,0,True,1.121089
DF3.dat,2,0,False,1.120095
EF2.dat,3,0,True,1.118993
EF1.dat,0,1,False,1.116797
SF3.dat,0,1,True,1.126213
FF3.dat,1,1,False,1.124264
DF2.dat,2,0,False,1.122446
FF1.dat,0,1,False,1.101954
EF2.dat,1,1,False,1.098896
SF1.dat,2,0,False,1.09312
DF3.dat,0,1,False,1.094978
FF2.dat,3,0,True,1.097202
SF2.dat,0,1,False,1.091544
EF1.dat,3,0,False,1.087751
SF3.dat,3,0,False,1.095986
EF3.dat,2,0,True,1.094906
DF1.dat,1,1,False,1.09489
DF3.dat,3,0,True,1.091472
FF2.dat,1,1,False,1.095677
EF1.dat,1,1,False,1.086906
DF2.dat,0,1,False,1.099909
SF3.dat,1,1,True,1.082551
DF1.dat,2,0,True,1.086117
EF3.dat,0,1,True,1.084429
SF1.dat,0,1,True,1.088499
FF3.dat,2,0,False,1.085815
EF2.dat,2,0,True,1.085135
SF2.dat,3,0,True,1.088501
FF1.dat,3,0,False,1.082358
DF1.dat,0,1,False,1.077484
FF3.dat,0,1,False,1.077381
SF1.dat,3,0,True,1.087824
EF3.dat,3,0,False,1.092572
DF2.dat,3,0,False,1.085508
SF2.dat,1,1,False,1.075917
EF2.dat,0,1,True,1.073183
EF1.dat,2,0,False,1.083251
DF3.dat,1,1,True,1.087748
SF3.dat,2,0,False,1.08215
FF1.dat,1,1,False,1.080352
FF2.dat,2,0,False,1.086646
