Filename;Framenumber;Result
SF_28.dat;212;True
F_25.dat;361;True
SF_16.dat;376;False
SF_10.dat;1355;False
SF_25.dat;898;False
F_17.dat;1266;True
SF_8.dat;1192;False
F_20.dat;2081;True
F_23.dat;1976;True
SF_1.dat;855;False
SF_18.dat;1358;True
F_21.dat;384;True
SF_3.dat;1116;False
F_8.dat;333;True
SF_23.dat;2148;False
SF_11.dat;482;False
F_7.dat;558;True
SF_22.dat;990;False
SF_31.dat;1344;False
SF_2.dat;1403;True
SF_21.dat;327;False
F_4.dat;924;True
F_9.dat;959;True
SF_30.dat;1592;False
F_5.dat;637;True
SF_4.dat;3043;False
F_10.dat;747;True
SF_34.dat;2574;False
F_15.dat;746;True
SF_20.dat;1790;False
SF_9.dat;960;False
F_18.dat;2107;True
SF_12.dat;1143;False
F_24.dat;1383;True
F_12.dat;1071;True
SF_29.dat;932;True
SF_32.dat;2553;False
SF_7.dat;379;False
F_16.dat;1261;True
SF_14.dat;813;False
F_19.dat;2111;True
SF_26.dat;556;False
F_2.dat;1083;True
SF_13.dat;1580;False
SF_24.dat;1852;False
SF_27.dat;2522;False
F_22.dat;715;True
F_1.dat;1872;True
SF_15.dat;987;False
SF_19.dat;601;False
F_3.dat;2040;False
SF_17.dat;129;False
SF_6.dat;851;False
F_26.dat;1675;False
F_6.dat;629;True
SF_33.dat;1350;False
F_28.dat;1020;False
F_13.dat;738;True
SF_5.dat;669;False
F_11.dat;1502;False
F_14.dat;348;True
F_27.dat;914;True
